Hướng nhà,Hướng ban công,Loại tin,Area Range,Diện Tích,Giá,Triệu/m2,Ngày đăng,Số Phòng Ngủ,Số Nhà Vệ Sinh,Quận,Giá Đề Xuất,Đường,Số Căn Hộ,Chủ Đầu Tư,Trạng Thái,Full_Address,Latitude,Longitude
,,Tin thường,"(64.577, 83.769]",70.0,9.5,13.6,2024-10-23,2.0,3.0,quận 9,59327.65113974232,,,cá nhân/môi giới,Đã bàn giao,", quận 9, Hồ Chí Minh, Vietnam",10.828572,106.762856
,,Tin thường,"(198.923, 218.115]",200.0,35.8,17.9,2024-10-23,2.0,3.0,quận 2,59327.65113974232,,,Tổng công ty Địa ốc Sài Gòn Resco,Đã bàn giao,", quận 2, Hồ Chí Minh, Vietnam",10.773553,106.722561
,,Tin thường,"(64.577, 83.769]",76.0,2.8,3.7,2024-10-22,4.0,5.0,bình thạnh,68000.0,nguyên hồng,,cá nhân/môi giới,Đã bàn giao,"nguyên hồng, bình thạnh, Hồ Chí Minh, Vietnam",10.779016,106.68299
,,Tin thường,"(64.577, 83.769]",69.0,1.93,2.8,2024-10-21,2.0,2.0,bình tân,93050.0,kinh dương vương,656.0,Công ty CP Tập đoàn Hưng Thịnh,Đã bàn giao,"kinh dương vương, bình tân, Hồ Chí Minh, Vietnam",10.728363,106.60768
Tây - Nam,Tây - Nam,Tin thường,"(83.769, 102.962]",88.0,6.9,7.8,2024-10-23,3.0,3.0,quận 2,59327.65113974232,,,cá nhân/môi giới,Đã bàn giao,", quận 2, Hồ Chí Minh, Vietnam",10.773553,106.722561
,,Tin thường,"(160.538, 179.731]",170.0,42.0,24.7,2024-10-23,3.0,3.0,bình thạnh,145000.0,lê quang định,,cá nhân/môi giới,Đã bàn giao,"lê quang định, bình thạnh, Hồ Chí Minh, Vietnam",10.811195,106.704566
,,Tin thường,"(64.577, 83.769]",83.0,4.05,4.9,2024-10-23,3.0,2.0,quận 7,56700.0,hoàng quốc việt,,Công ty CP Đầu tư & Phát triển Bất động sản An Gia,Đã bàn giao,"hoàng quốc việt, quận 7, Hồ Chí Minh, Vietnam",10.737658,106.730382
Tây - Bắc,Tây - Nam,Tin thường,"(64.577, 83.769]",76.0,8.55,11.2,2024-10-23,2.0,2.0,quận 7,80628.373015873,,182.0,Công ty TNHH Phát Triển Phú Mỹ Hưng,Đang mở bán,", quận 7, Hồ Chí Minh, Vietnam",10.737658,106.730382
,,Tin thường,"(102.962, 122.154]",110.0,4.99,4.5,2024-10-23,2.0,2.0,quận 2,59327.65113974232,,,cá nhân/môi giới,Đã bàn giao,", quận 2, Hồ Chí Minh, Vietnam",10.773553,106.722561
Tây,,Tin thường,"(218.115, 237.308]",220.0,49.0,22.3,2024-10-23,4.0,5.0,quận 7,145800.0,nguyễn thị thập,,Công ty TNHH Đầu tư Địa ốc Thành phố (CityLand),Đã bàn giao,"nguyễn thị thập, quận 7, Hồ Chí Minh, Vietnam",10.737176,106.72516
,,Tin thường,"(198.923, 218.115]",215.0,59.0,27.4,2024-10-23,4.0,5.0,tân bình,185300.0,lê văn sỹ,,cá nhân/môi giới,Đã bàn giao,"lê văn sỹ, tân bình, Hồ Chí Minh, Vietnam",10.796471,106.66531
Đông - Nam,Tây - Bắc,Tin thường,"(45.385, 64.577]",55.5,6.2,11.2,2024-10-24,1.0,1.0,quận 2,132000.0,mai chí thọ,,Công ty Cổ phần Gamuda Land Việt Nam,Đang mở bán,"mai chí thọ, quận 2, Hồ Chí Minh, Vietnam",10.773553,106.722561
,,Tin thường,"(45.385, 64.577]",64.1,7.5,11.7,2024-10-28,4.0,5.0,quận 7,105300.0,đường b,,cá nhân/môi giới,Đã bàn giao,"đường b, quận 7, Hồ Chí Minh, Vietnam",10.737658,106.730382
,,Tin thường,"(160.538, 179.731]",170.0,39.0,22.9,2024-10-23,4.0,5.0,bình thạnh,129600.0,nguyễn văn đậu,,cá nhân/môi giới,Đã bàn giao,"nguyễn văn đậu, bình thạnh, Hồ Chí Minh, Vietnam",10.811195,106.704566
,,Tin thường,"(102.962, 122.154]",108.0,11.5,10.6,2024-10-28,4.0,5.0,quận 2,59327.65113974232,,,Công ty CP Đầu tư Thủ Thiêm,Đang cập nhật tiến độ,", quận 2, Hồ Chí Minh, Vietnam",10.773553,106.722561
,,Tin thường,"(122.154, 141.346]",128.0,27.0,21.1,2024-10-22,4.0,5.0,thủ đức,64800.0,đặng văn bi,,cá nhân/môi giới,Đã bàn giao,"đặng văn bi, thủ đức, Hồ Chí Minh, Vietnam",10.829355,106.761905
Tây - Nam,Tây - Bắc,Tin thường,"(45.385, 64.577]",61.6,2.8,4.5,2024-10-28,2.0,2.0,quận 9,59327.65113974232,,,Tập đoàn Vingroup,Sắp bàn giao,", quận 9, Hồ Chí Minh, Vietnam",10.828572,106.762856
,,Tin thường,"(102.962, 122.154]",103.5,13.5,13.0,2024-10-23,3.0,4.0,phú nhuận,80600.0,nhiêu tứ,,cá nhân/môi giới,Đã bàn giao,"nhiêu tứ, phú nhuận, Hồ Chí Minh, Vietnam",10.799478,106.680164
Đông - Nam,,Tin VIP Bạc,"(64.577, 83.769]",64.6,5.9,9.1,2024-10-28,4.0,3.0,gò vấp,133600.0,quang trung,,cá nhân/môi giới,Đã bàn giao,"quang trung, gò vấp, Hồ Chí Minh, Vietnam",10.834824,106.675715
,,Tin thường,"(64.577, 83.769]",77.0,28.5,37.0,2024-10-23,4.0,3.0,quận 3,267300.0,nguyễn đình chiểu,,cá nhân/môi giới,Đã bàn giao,"nguyễn đình chiểu, quận 3, Hồ Chí Minh, Vietnam",10.781372,106.692761
Nam,,Tin thường,"(45.385, 64.577]",58.0,3.6,6.2,2024-10-24,4.0,3.0,bình tân,59300.0,hồ học lãm,,cá nhân/môi giới,Đã bàn giao,"hồ học lãm, bình tân, Hồ Chí Minh, Vietnam",10.770822,106.599385
,,Tin thường,"(64.577, 83.769]",65.0,2.72,4.2,2024-10-23,4.0,3.0,quận 9,42100.0,long phước,,cá nhân/môi giới,Đã bàn giao,"long phước, quận 9, Hồ Chí Minh, Vietnam",10.812,106.8598
Bắc,Bắc,Tin thường,"(26.192, 45.385]",38.0,3.95,10.4,2024-10-23,2.0,2.0,gò vấp,62400.0,lương ngọc quyến,,cá nhân/môi giới,Đã bàn giao,"lương ngọc quyến, gò vấp, Hồ Chí Minh, Vietnam",10.834824,106.675715
Tây - Bắc,,Tin thường,"(102.962, 122.154]",117.0,6.9,5.9,2024-10-23,3.0,2.0,tân phú,72900.0,sơn kỳ,,Công ty Cổ phần Gamuda Land Việt Nam,Đã bàn giao,"sơn kỳ, tân phú, Hồ Chí Minh, Vietnam",10.798689,106.617306
,,Tin thường,"(83.769, 102.962]",85.0,2.7,3.2,2024-10-23,3.0,2.0,bình tân,80450.0,tên lửa,,cá nhân/môi giới,Đã bàn giao,"tên lửa, bình tân, Hồ Chí Minh, Vietnam",10.770822,106.599385
,,Tin thường,"(64.577, 83.769]",77.7,3.3,4.2,2024-10-23,3.0,2.0,quận 1,267213.53383458644,,,cá nhân/môi giới,Đã bàn giao,", quận 1, Hồ Chí Minh, Vietnam",10.776172,106.701203
,,Tin thường,"(45.385, 64.577]",55.0,3.0,5.5,2024-10-23,2.0,1.0,tân phú,92350.0,thoại ngọc hầu,,Công ty CP Địa Ốc 11,Đã bàn giao,"thoại ngọc hầu, tân phú, Hồ Chí Minh, Vietnam",10.79299,106.628352
,,Tin thường,"(64.577, 83.769]",72.0,6.7,9.3,2024-10-23,4.0,3.0,gò vấp,50200.0,bùi quang là,,cá nhân/môi giới,Đã bàn giao,"bùi quang là, gò vấp, Hồ Chí Minh, Vietnam",10.834824,106.675715
,,Tin thường,"(83.769, 102.962]",93.0,13.0,14.0,2024-10-23,5.0,6.0,quận 6,94800.0,bình phú,,cá nhân/môi giới,Đã bàn giao,"bình phú, quận 6, Hồ Chí Minh, Vietnam",10.746751,106.649618
,,Tin thường,"(64.577, 83.769]",76.0,11.5,15.1,2024-10-20,5.0,6.0,bình thạnh,103700.0,bình lợi,,cá nhân/môi giới,Đã bàn giao,"bình lợi, bình thạnh, Hồ Chí Minh, Vietnam",10.751082,106.480172
Đông - Nam,,Tin thường,"(83.769, 102.962]",100.0,25.0,25.0,2024-10-23,5.0,6.0,quận 1,180600.0,điện biên phủ,,cá nhân/môi giới,Đã bàn giao,"điện biên phủ, quận 1, Hồ Chí Minh, Vietnam",10.791542,106.698757
,,Tin thường,"(26.192, 45.385]",30.0,7.59,25.3,2024-10-23,4.0,4.0,quận 6,64600.0,đường vành đai,,cá nhân/môi giới,Đã bàn giao,"đường vành đai, quận 6, Hồ Chí Minh, Vietnam",10.746751,106.649618
,Đông - Nam,Tin thường,"(102.962, 122.154]",114.0,4.5,3.9,2024-10-23,3.0,2.0,tân phú,72900.0,lương minh nguyệt,625.0,Công ty CP Địa ốc Sài Gòn Thương Tín (TTC Land),Đã bàn giao,"lương minh nguyệt, tân phú, Hồ Chí Minh, Vietnam",10.79299,106.628352
,Đông - Nam,Tin thường,"(102.962, 122.154]",114.0,4.5,3.9,2024-10-23,3.0,2.0,tân phú,72900.0,lương minh nguyệt,625.0,Công ty CP Địa ốc Sài Gòn Thương Tín (TTC Land),Đã bàn giao,"lương minh nguyệt, tân phú, Hồ Chí Minh, Vietnam",10.79299,106.628352
,,Tin thường,"(64.577, 83.769]",74.0,4.0,5.4,2024-10-23,2.0,2.0,quận 10,176500.0,thành thái,420.0,Công ty CP Đầu tư và Phát triển Đô thị Long Giang,Đã bàn giao,"thành thái, quận 10, Hồ Chí Minh, Vietnam",10.754936,106.67939
,,Tin thường,"(64.577, 83.769]",80.0,3.89,4.9,2024-10-23,4.0,4.0,quận 10,111500.0,trần nhân tôn,,cá nhân/môi giới,Đã bàn giao,"trần nhân tôn, quận 10, Hồ Chí Minh, Vietnam",10.777241,106.678949
Tây - Nam,,Tin thường,"(198.923, 218.115]",216.0,14.256,6.6,2024-10-23,4.0,4.0,nhà bè,32532.196969696968,,,cá nhân/môi giới,Đã bàn giao,", nhà bè, Hồ Chí Minh, Vietnam",10.696773,106.739378
,,Tin thường,"(64.577, 83.769]",69.0,8.0,11.6,2024-10-23,4.0,4.0,bình thạnh,145000.0,lê quang định,,cá nhân/môi giới,Đã bàn giao,"lê quang định, bình thạnh, Hồ Chí Minh, Vietnam",10.811195,106.704566
Đông - Bắc,,Tin thường,"(64.577, 83.769]",80.0,2.6,3.2,2024-10-23,3.0,2.0,bình tân,63800.0,mã lò,,cá nhân/môi giới,Đã bàn giao,"mã lò, bình tân, Hồ Chí Minh, Vietnam",10.770822,106.599385
,,Tin thường,"(64.577, 83.769]",78.0,4.2,5.4,2024-10-23,2.0,2.0,quận 2,59327.65113974232,,,Công ty CP Đầu tư Thủ Thiêm,Đã bàn giao,", quận 2, Hồ Chí Minh, Vietnam",10.773553,106.722561
,,Tin thường,"(83.769, 102.962]",90.0,5.3,5.9,2024-10-22,3.0,2.0,quận 2,132000.0,mai chí thọ,3000.0,Novaland Group,Đã bàn giao,"mai chí thọ, quận 2, Hồ Chí Minh, Vietnam",10.773553,106.722561
,,Tin thường,"(45.385, 64.577]",58.2,4.95,8.5,2024-10-28,4.0,3.0,nhà bè,26233.33333333333,nguyễn bình,,cá nhân/môi giới,Đã bàn giao,"nguyễn bình, nhà bè, Hồ Chí Minh, Vietnam",10.696773,106.739378
,,Tin thường,"(45.385, 64.577]",51.0,4.85,9.5,2024-10-28,4.0,3.0,nhà bè,57000.0,huỳnh tấn phát,,cá nhân/môi giới,Đã bàn giao,"huỳnh tấn phát, nhà bè, Hồ Chí Minh, Vietnam",10.736037,106.731316
Đông - Nam,,Tin thường,"(45.385, 64.577]",52.0,3.75,7.2,2024-10-28,2.0,1.0,tân phú,74354.52755905512,,,cá nhân/môi giới,Đã bàn giao,", tân phú, Hồ Chí Minh, Vietnam",10.79299,106.628352
,,Tin thường,"(64.577, 83.769]",66.0,2.99,4.5,2024-10-18,2.0,2.0,quận 9,61450.0,võ chí công,1570.0,Công ty Cổ Phần Đầu Tư và Kinh Doanh nhà Khang Điền,Đã bàn giao,"võ chí công, quận 9, Hồ Chí Minh, Vietnam",10.828572,106.762856
,,Tin thường,"(45.385, 64.577]",48.0,3.0,6.2,2024-10-23,3.0,2.0,quận 8,76933.33333333333,phạm thế hiển,,cá nhân/môi giới,Đã bàn giao,"phạm thế hiển, quận 8, Hồ Chí Minh, Vietnam",10.743402,106.671015
,,Tin thường,"(64.577, 83.769]",73.0,12.5,17.1,2024-10-28,8.0,7.0,gò vấp,69700.0,dương quảng hàm,,cá nhân/môi giới,Đã bàn giao,"dương quảng hàm, gò vấp, Hồ Chí Minh, Vietnam",10.834824,106.675715
,,Tin thường,"(122.154, 141.346]",141.0,8.2,5.8,2024-10-23,3.0,2.0,tân phú,72900.0,sơn kỳ,,Công ty Cổ phần Gamuda Land Việt Nam,Đã bàn giao,"sơn kỳ, tân phú, Hồ Chí Minh, Vietnam",10.798689,106.617306
,,Tin thường,"(102.962, 122.154]",120.0,5.96,5.0,2024-10-23,1.0,1.0,quận 7,93150.0,huỳnh tấn phát,,cá nhân/môi giới,Đã bàn giao,"huỳnh tấn phát, quận 7, Hồ Chí Minh, Vietnam",10.736037,106.731316
,,Tin thường,"(45.385, 64.577]",52.8,2.15,4.1,2024-10-19,2.0,2.0,quận 8,74950.0,bông sao,,cá nhân/môi giới,Đã bàn giao,"bông sao, quận 8, Hồ Chí Minh, Vietnam",10.795376,106.694391
,,Tin thường,"(26.192, 45.385]",44.0,5.85,13.3,2024-10-23,2.0,2.0,tân phú,90700.0,tân quý,,cá nhân/môi giới,Đã bàn giao,"tân quý, tân phú, Hồ Chí Minh, Vietnam",10.794419,106.623132
Nam,Tây,Tin thường,"(45.385, 64.577]",62.3,3.7,5.9,2024-10-23,2.0,2.0,quận 2,66200.0,đồng văn cống,1136.0,Novaland Group,Đang mở bán,"đồng văn cống, quận 2, Hồ Chí Minh, Vietnam",10.773553,106.722561
Bắc,Bắc,Tin thường,"(26.192, 45.385]",30.0,1.63,5.4,2024-10-23,2.0,2.0,quận 12,63800.0,nguyễn ảnh thủ,,cá nhân/môi giới,Đã bàn giao,"nguyễn ảnh thủ, quận 12, Hồ Chí Minh, Vietnam",10.859068,106.612308
,,Tin thường,"(83.769, 102.962]",88.8,4.7,5.3,2024-10-23,2.0,2.0,tân phú,72900.0,sơn kỳ,,Công ty Cổ phần Gamuda Land Việt Nam,Đã bàn giao,"sơn kỳ, tân phú, Hồ Chí Minh, Vietnam",10.798689,106.617306
Tây - Bắc,,Tin thường,"(45.385, 64.577]",64.0,6.4,10.0,2024-10-23,3.0,2.0,gò vấp,69700.0,lê văn thọ,,cá nhân/môi giới,Đã bàn giao,"lê văn thọ, gò vấp, Hồ Chí Minh, Vietnam",10.8455,106.657002
,,Tin thường,"(122.154, 141.346]",139.0,6.8,4.9,2024-10-23,3.0,2.0,quận 7,93150.0,huỳnh tấn phát,,cá nhân/môi giới,Đã bàn giao,"huỳnh tấn phát, quận 7, Hồ Chí Minh, Vietnam",10.736037,106.731316
,,Tin thường,"(64.577, 83.769]",80.0,18.8,23.5,2024-10-23,6.0,7.0,quận 7,80628.373015873,,,cá nhân/môi giới,Đã bàn giao,", quận 7, Hồ Chí Minh, Vietnam",10.737658,106.730382
,,Tin thường,"(141.346, 160.538]",145.19,44.0,30.3,2024-10-20,6.0,7.0,tân bình,101933.79629629629,,,cá nhân/môi giới,Đã bàn giao,", tân bình, Hồ Chí Minh, Vietnam",10.801616,106.651677
,,Tin thường,"(45.385, 64.577]",56.0,3.8,6.8,2024-10-21,2.0,1.0,quận 2,132000.0,mai chí thọ,3000.0,Novaland Group,Đã bàn giao,"mai chí thọ, quận 2, Hồ Chí Minh, Vietnam",10.773553,106.722561
,,Tin thường,"(83.769, 102.962]",96.0,5.92,6.2,2024-10-22,3.0,2.0,quận 2,132000.0,mai chí thọ,3000.0,Novaland Group,Đã bàn giao,"mai chí thọ, quận 2, Hồ Chí Minh, Vietnam",10.773553,106.722561
Đông - Nam,Tây - Bắc,Tin thường,"(64.577, 83.769]",73.0,5.6,7.7,2024-10-23,2.0,2.0,quận 10,174500.0,tô hiến thành,,Tập đoàn Đông Dương (Indochina Group),Đang bán đợt cuối 47 căn,"tô hiến thành, quận 10, Hồ Chí Minh, Vietnam",10.77777,106.665768
Nam,,Tin thường,"(64.577, 83.769]",80.0,3.1,3.9,2024-10-23,3.0,3.0,quận 6,92683.33333333333,,,cá nhân/môi giới,Đã bàn giao,", quận 6, Hồ Chí Minh, Vietnam",10.746751,106.649618
,,Tin thường,"(26.192, 45.385]",32.0,2.7,8.4,2024-10-23,2.0,2.0,quận 8,81000.0,hưng phú,,cá nhân/môi giới,Đã bàn giao,"hưng phú, quận 8, Hồ Chí Minh, Vietnam",10.7216,106.629241
,,Tin thường,"(102.962, 122.154]",120.0,0.8,0.7,2024-10-23,2.0,2.0,bình chánh,36500.0,vĩnh lộc,,cá nhân/môi giới,Đã bàn giao,"vĩnh lộc, bình chánh, Hồ Chí Minh, Vietnam",10.690617,106.583092
Tây,Tây,Tin thường,"(83.769, 102.962]",100.0,7.25,7.2,2024-10-23,6.0,6.0,quận 9,59327.65113974232,,,Công ty TNHH Xây dựng và Kinh doanh Nhà Điền Phúc Thành,Đã bàn giao,", quận 9, Hồ Chí Minh, Vietnam",10.828572,106.762856
,,Tin thường,"(83.769, 102.962]",96.0,6.1,6.4,2024-10-23,2.0,2.0,tân phú,72900.0,sơn kỳ,,Công ty Cổ phần Gamuda Land Việt Nam,Đang mở bán,"sơn kỳ, tân phú, Hồ Chí Minh, Vietnam",10.798689,106.617306
,Đông,Tin thường,"(64.577, 83.769]",83.0,3.1,3.7,2024-10-23,2.0,2.0,bình chánh,25803.571428571428,,,Công ty CP Tập đoàn Hưng Thịnh,Đã bàn giao,", bình chánh, Hồ Chí Minh, Vietnam",10.690617,106.583092
,,Tin thường,"(45.385, 64.577]",55.0,6.0,10.9,2024-10-23,4.0,3.0,bình thạnh,89900.0,vũ huy tấn,,cá nhân/môi giới,Đã bàn giao,"vũ huy tấn, bình thạnh, Hồ Chí Minh, Vietnam",10.801616,106.651677
,,Tin thường,"(122.154, 141.346]",136.5,2.3,1.7,2024-10-23,1.0,1.0,củ chi,8990.760869565218,,,cá nhân/môi giới,Đã bàn giao,", củ chi, Hồ Chí Minh, Vietnam",10.973198,106.494733
,,Tin thường,"(64.577, 83.769]",69.0,15.5,22.5,2024-10-23,2.0,2.0,quận 2,59327.65113974232,,646.0,Đang cập nhật,Đang mở bán,", quận 2, Hồ Chí Minh, Vietnam",10.773553,106.722561
,,Tin thường,"(83.769, 102.962]",100.0,6.5,6.5,2024-10-23,2.0,2.0,quận 1,175700.0,trần quang khải,264.0,Công ty Địa ốc Fico,Đã bàn giao,"trần quang khải, quận 1, Hồ Chí Minh, Vietnam",10.791962999999999,106.691473
,,Tin thường,"(160.538, 179.731]",176.0,58.0,33.0,2024-10-23,2.0,2.0,quận 3,262100.0,cao thắng,,cá nhân/môi giới,Đã bàn giao,"cao thắng, quận 3, Hồ Chí Minh, Vietnam",10.768893,106.683179
,,Tin thường,"(26.192, 45.385]",45.0,6.8,15.1,2024-10-23,2.0,2.0,quận 7,81000.0,tân mỹ,,cá nhân/môi giới,Đã bàn giao,"tân mỹ, quận 7, Hồ Chí Minh, Vietnam",10.755562,106.671936
Tây - Nam,Đông - Nam,Tin thường,"(83.769, 102.962]",99.0,2.75,2.8,2024-10-23,2.0,2.0,nhà bè,52500.0,nguyễn hữu thọ,,Công ty CP Hoàng Anh Gia Lai,Đã bàn giao,"nguyễn hữu thọ, nhà bè, Hồ Chí Minh, Vietnam",10.696773,106.739378
,,Tin thường,"(198.923, 218.115]",210.0,59.0,28.1,2024-10-23,2.0,2.0,quận 3,305800.0,nguyễn thị minh khai,,cá nhân/môi giới,Đã bàn giao,"nguyễn thị minh khai, quận 3, Hồ Chí Minh, Vietnam",10.769767,106.685761
,,Tin thường,"(64.577, 83.769]",80.0,23.0,28.7,2024-10-23,2.0,2.0,quận 1,260800.0,võ thị sáu,,cá nhân/môi giới,Đã bàn giao,"võ thị sáu, quận 1, Hồ Chí Minh, Vietnam",10.790257,106.686324
Đông - Nam,,Tin thường,"(64.577, 83.769]",80.0,2.7,3.4,2024-10-23,4.0,3.0,bình tân,45781.513083048914,,,cá nhân/môi giới,Đã bàn giao,", bình tân, Hồ Chí Minh, Vietnam",10.770822,106.599385
,,Tin thường,"(83.769, 102.962]",100.0,24.0,24.0,2024-10-23,4.0,3.0,quận 1,466700.0,lê duẩn,,cá nhân/môi giới,Đã bàn giao,"lê duẩn, quận 1, Hồ Chí Minh, Vietnam",10.776172,106.701203
Tây,,Tin thường,"(64.577, 83.769]",68.0,14.5,21.3,2024-10-18,3.0,3.0,gò vấp,133600.0,quang trung,,cá nhân/môi giới,Đã bàn giao,"quang trung, gò vấp, Hồ Chí Minh, Vietnam",10.834824,106.675715
,,Tin thường,"(179.731, 198.923]",180.5,36.5,20.2,2024-10-28,2.0,3.0,quận 1,409900.0,nguyễn trãi,,cá nhân/môi giới,Đã bàn giao,"nguyễn trãi, quận 1, Hồ Chí Minh, Vietnam",10.778697999999999,106.7023555
,,Tin thường,"(160.538, 179.731]",170.0,139.0,81.8,2024-10-23,2.0,3.0,quận 2,59327.65113974232,,,Công ty CP Đầu tư Địa ốc Đại Quang Minh,Đã bàn giao,", quận 2, Hồ Chí Minh, Vietnam",10.773553,106.722561
,,Tin thường,"(179.731, 198.923]",190.0,68.0,35.8,2024-10-16,2.0,3.0,tân bình,196900.0,hoàng văn thụ,,cá nhân/môi giới,Đã bàn giao,"hoàng văn thụ, tân bình, Hồ Chí Minh, Vietnam",10.801055,106.664486
Tây,,Tin thường,"(6.75, 26.192]",19.0,2.28,12.0,2024-10-22,1.0,2.0,quận 8,76933.33333333333,phạm thế hiển,,cá nhân/môi giới,Đã bàn giao,"phạm thế hiển, quận 8, Hồ Chí Minh, Vietnam",10.743402,106.671015
,,Tin thường,"(64.577, 83.769]",76.3,10.8,14.2,2024-10-28,4.0,4.0,bình thạnh,113000.0,chu văn an,,cá nhân/môi giới,Đã bàn giao,"chu văn an, bình thạnh, Hồ Chí Minh, Vietnam",10.811195,106.704566
,,Tin thường,"(64.577, 83.769]",72.0,10.8,15.0,2024-10-28,4.0,4.0,bình thạnh,105035.10638297872,,,cá nhân/môi giới,Đã bàn giao,", bình thạnh, Hồ Chí Minh, Vietnam",10.811195,106.704566
,,Tin thường,"(64.577, 83.769]",76.0,10.5,13.8,2024-10-28,4.0,4.0,bình thạnh,105035.10638297872,,,cá nhân/môi giới,Đã bàn giao,", bình thạnh, Hồ Chí Minh, Vietnam",10.811195,106.704566
,,Tin thường,"(45.385, 64.577]",56.0,13.5,24.1,2024-10-28,5.0,5.0,bình thạnh,73700.0,nguyễn thượng hiền,,cá nhân/môi giới,Đã bàn giao,"nguyễn thượng hiền, bình thạnh, Hồ Chí Minh, Vietnam",10.811195,106.704566
,,Tin thường,"(45.385, 64.577]",60.0,10.8,18.0,2024-10-22,4.0,6.0,bình thạnh,105035.10638297872,,,cá nhân/môi giới,Đã bàn giao,", bình thạnh, Hồ Chí Minh, Vietnam",10.811195,106.704566
,,Tin thường,"(26.192, 45.385]",34.0,9.5,27.9,2024-10-23,4.0,6.0,quận 3,170100.0,nguyễn hiền,,cá nhân/môi giới,Đã bàn giao,"nguyễn hiền, quận 3, Hồ Chí Minh, Vietnam",10.778946,106.686069
,,Tin thường,"(83.769, 102.962]",100.0,6.4,6.4,2024-10-23,4.0,6.0,quận 9,59327.65113974232,,,cá nhân/môi giới,Đã bàn giao,", quận 9, Hồ Chí Minh, Vietnam",10.828572,106.762856
,,Tin thường,"(45.385, 64.577]",50.0,2.0,4.0,2024-10-20,2.0,1.0,bình tân,45781.513083048914,,,Công ty TNHH IDE Việt Nam,Đã bàn giao,", bình tân, Hồ Chí Minh, Vietnam",10.770822,106.599385
,,Tin thường,"(64.577, 83.769]",75.0,2.8,3.7,2024-10-18,4.0,4.0,bình thạnh,105035.10638297872,,,cá nhân/môi giới,Đã bàn giao,", bình thạnh, Hồ Chí Minh, Vietnam",10.811195,106.704566
Tây - Bắc,Đông - Nam,Tin thường,"(83.769, 102.962]",96.0,6.23,6.5,2024-10-23,2.0,2.0,tân phú,72900.0,sơn kỳ,,Công ty Cổ phần Gamuda Land Việt Nam,Đang mở bán,"sơn kỳ, tân phú, Hồ Chí Minh, Vietnam",10.798689,106.617306
Tây - Nam,Đông - Bắc,Tin thường,"(102.962, 122.154]",108.0,9.6,8.9,2024-10-23,3.0,2.0,quận 7,129600.0,đường n,,Công ty TNHH Phát Triển Phú Mỹ Hưng,Đã bàn giao tháng 4/2022,"đường n, quận 7, Hồ Chí Minh, Vietnam",10.737658,106.730382
,,Tin thường,"(83.769, 102.962]",93.0,10.8,11.6,2024-10-23,6.0,6.0,gò vấp,78000.0,nguyễn văn công,,cá nhân/môi giới,Đã bàn giao,"nguyễn văn công, gò vấp, Hồ Chí Minh, Vietnam",10.834824,106.675715
,,Tin thường,"(45.385, 64.577]",62.0,3.38,5.5,2024-10-20,3.0,3.0,quận 4,104300.0,tôn thất thuyết,,cá nhân/môi giới,Đã bàn giao,"tôn thất thuyết, quận 4, Hồ Chí Minh, Vietnam",10.753785,106.704498
Nam,Nam,Tin thường,"(141.346, 160.538]",156.0,28.0,17.9,2024-10-16,3.0,3.0,tân phú,119100.0,nguyễn sơn,,cá nhân/môi giới,Đã bàn giao,"nguyễn sơn, tân phú, Hồ Chí Minh, Vietnam",10.79299,106.628352
,,Tin thường,"(122.154, 141.346]",125.0,7.0,5.6,2024-10-23,3.0,3.0,quận 9,59327.65113974232,,,cá nhân/môi giới,Đã bàn giao,", quận 9, Hồ Chí Minh, Vietnam",10.828572,106.762856
,,Tin thường,"(83.769, 102.962]",100.0,12.0,12.0,2024-10-23,3.0,3.0,quận 9,62400.0,lã xuân oai,,cá nhân/môi giới,Đã bàn giao,"lã xuân oai, quận 9, Hồ Chí Minh, Vietnam",10.828572,106.762856
,,Tin thường,"(83.769, 102.962]",87.0,9.0,10.3,2024-10-23,3.0,3.0,quận 9,59327.65113974232,,,cá nhân/môi giới,Đã bàn giao,", quận 9, Hồ Chí Minh, Vietnam",10.828572,106.762856
,,Tin thường,"(45.385, 64.577]",51.0,2.1,4.1,2024-10-23,1.0,1.0,quận 4,177100.0,tân vĩnh,,cá nhân/môi giới,Đã bàn giao,"tân vĩnh, quận 4, Hồ Chí Minh, Vietnam",10.791668,106.689852
,,Tin thường,"(64.577, 83.769]",80.0,13.7,17.1,2024-10-23,3.0,3.0,quận 10,176500.0,thành thái,,cá nhân/môi giới,Đã bàn giao,"thành thái, quận 10, Hồ Chí Minh, Vietnam",10.754936,106.67939
,,Tin thường,"(83.769, 102.962]",100.0,15.5,15.5,2024-10-23,6.0,5.0,quận 9,66200.0,nguyễn duy trinh,,cá nhân/môi giới,Đã bàn giao,"nguyễn duy trinh, quận 9, Hồ Chí Minh, Vietnam",10.828572,106.762856
,,Tin thường,"(45.385, 64.577]",64.0,12.5,19.5,2024-10-22,3.0,2.0,quận 5,111700.0,phạm đôn,,cá nhân/môi giới,Đã bàn giao,"phạm đôn, quận 5, Hồ Chí Minh, Vietnam",10.756226,106.666287
,,Tin thường,"(64.577, 83.769]",81.0,13.1,16.2,2024-10-23,4.0,5.0,bình thạnh,97200.0,hoàng hoa thám,,cá nhân/môi giới,Đã bàn giao,"hoàng hoa thám, bình thạnh, Hồ Chí Minh, Vietnam",10.795564,106.692826
